sebum_level,hydration_level,ph_level,skin_temperature,pore_size,oil_shine,wrinkle_score,roughness_score,elasticity_score,sensitivity_score,redness_level,itchiness_score,pigmentation_level,dark_spot_score,uneven_tone_score,acne_frequency,blackhead_score,whitehead_score,tightness_score,flakiness_score,sun_exposure_hours,pollution_exposure_index,water_intake_liters,sleep_hours,skin_type
15.33,71.58,4.6,35.65,4.67,6.41,0.07,7.96,40.36,7.85,3.41,7.88,3.95,5.3,4.25,1.95,0.44,8.53,7.21,3.25,2.42,2.14,0.78,6.09,Sensitive
25.17,62.33,7.15,30.23,5.21,0.67,5.58,0.46,20.68,6.29,8.45,9.03,8.04,1.89,2.92,4.92,7.26,3.63,5.36,2.88,2.98,83.91,4.31,6.06,Sensitive
30.57,41.53,5.1,33.91,8.48,7.63,5.22,0.29,57.64,0.14,6.42,5.69,9.41,7.48,3.72,9.27,2.55,1.08,9.04,2.84,1.36,30.32,1.49,4.59,Sensitive
119.37,28.04,5.15,32.12,3.12,1.56,6.18,9.4,39.46,1.09,7.44,2.17,6.56,4.26,0.53,7.79,9.96,1.11,9.44,0.12,2.29,87.2,3.01,8.56,Sensitive
67.27,76.76,5.96,34.62,5.69,5.1,4.84,8.06,80.59,3.34,1.2,1.47,3.23,5.46,7.37,9.94,1.72,2.84,4.49,2.08,6.19,21.7,4.81,6.55,Combination
73.67,64.24,6.28,30.4,7.92,3.84,6.95,4.47,64.26,1.85,4.18,8.09,6.94,3.68,8.63,9.53,8.44,1.65,8.07,9.05,6.9,55.81,2.45,8.96,Combination
90.83,51.67,4.44,34.07,5.05,2.2,1.69,4.44,26.06,5.02,5.57,6.73,6.5,5.5,5.51,8.29,1.06,3.05,8.3,7.86,6.03,40.17,4.77,6.36,Sensitive
69.62,41.73,6.99,31.96,2.16,4.04,1.73,1.82,81.79,1.13,6.63,3.1,1.58,5.71,9.26,0.88,2.08,1.65,7.87,9.94,0.6,65.5,2.88,7.35,Sensitive
110.45,16.39,5.51,35.16,7.65,3.06,3.79,9.07,39.6,6.12,5.54,8.5,7.68,9.07,3.41,8.58,2.75,9.75,5.94,0.73,2.11,39.52,1.77,8.54,Sensitive
98.87,23.86,5.88,31.16,4.2,2.83,0.45,9.91,84.61,2.8,4.09,4.48,3.94,5.0,8.44,5.27,6.46,1.13,3.92,7.17,7.45,30.52,3.06,8.75,Normal
54.33,28.47,6.54,32.09,4.23,0.29,8.51,1.74,90.91,3.18,3.7,6.49,3.1,7.54,0.48,4.17,5.24,6.54,2.6,3.47,1.89,71.35,2.68,5.32,Sensitive
49.29,44.0,5.28,32.38,5.06,9.8,1.21,1.43,82.0,9.74,1.36,9.39,8.08,1.63,8.85,2.43,1.68,8.68,3.41,9.14,9.46,35.05,2.35,4.22,Sensitive
114.82,39.58,5.06,35.99,3.59,0.43,5.36,3.37,58.78,4.07,9.53,3.86,8.04,1.44,1.98,6.16,3.55,5.82,3.91,4.85,8.27,45.22,1.39,4.33,Sensitive
47.8,82.82,4.29,35.6,5.53,4.82,2.16,2.89,39.33,6.87,7.12,3.51,3.7,1.53,0.17,6.78,9.62,4.58,3.36,7.06,3.94,79.97,1.35,3.64,Sensitive
105.16,52.96,4.88,33.25,3.21,6.1,5.87,2.28,69.19,6.39,2.11,2.3,0.87,9.7,8.35,1.03,5.56,3.48,7.22,3.23,4.08,27.63,2.56,4.8,Normal
101.33,47.38,6.64,32.46,2.93,9.35,5.31,5.06,80.52,6.8,8.66,8.62,4.23,3.04,7.97,4.9,5.6,2.74,0.97,2.36,4.01,43.79,4.31,7.14,Sensitive
69.2,39.58,4.39,35.82,9.53,4.64,4.51,5.59,23.12,4.36,0.22,7.33,1.35,6.59,6.69,6.37,1.58,7.77,8.33,4.56,3.43,29.0,4.27,4.69,Sensitive
111.47,79.91,4.89,31.23,6.48,4.91,7.7,6.13,73.11,6.71,8.97,7.0,9.36,2.25,8.52,8.75,3.76,6.73,1.97,6.83,9.8,65.61,1.72,4.9,Combination
20.69,29.17,6.12,31.42,7.47,4.26,4.89,5.98,93.91,2.23,3.06,4.23,3.03,0.64,9.95,0.48,8.72,3.7,3.52,1.12,6.99,2.69,2.19,4.42,Normal
21.31,34.16,6.54,31.21,8.72,5.78,4.85,7.81,78.65,0.78,6.4,6.74,0.18,6.4,2.6,9.98,3.05,1.34,7.87,4.54,2.39,79.02,0.79,5.91,Sensitive
87.17,23.09,5.35,30.43,5.1,4.06,1.98,5.67,61.96,0.83,0.91,8.56,0.57,9.12,1.9,6.5,0.05,1.84,8.05,7.52,7.05,37.26,3.15,3.12,Dry
107.95,27.55,6.85,33.93,1.17,1.44,6.53,1.05,49.45,8.93,8.07,5.7,8.99,2.38,8.67,9.43,6.57,0.17,1.99,8.24,9.47,49.49,1.0,8.47,Sensitive
27.55,24.01,4.77,34.35,5.97,7.44,3.33,0.75,53.56,7.95,2.55,8.23,1.25,4.33,5.82,8.43,9.91,7.54,1.85,6.75,6.37,57.59,3.32,3.63,Sensitive
40.31,55.11,6.36,31.35,5.79,5.91,5.68,7.21,63.71,0.36,8.21,3.92,2.52,4.81,7.11,7.6,9.82,9.19,0.31,2.29,1.65,44.98,4.56,3.39,Sensitive
83.97,51.12,5.06,30.93,8.72,0.96,4.2,6.88,76.35,3.53,0.36,0.08,7.53,8.34,1.36,1.26,2.99,9.25,6.98,8.78,1.06,50.99,4.47,6.77,Normal
28.07,84.64,4.3,30.36,3.57,5.18,8.0,7.69,83.31,6.1,3.94,6.48,5.09,7.74,2.93,5.94,6.67,2.65,0.28,9.18,6.0,76.6,3.41,4.54,Sensitive
87.15,26.27,5.41,34.06,8.32,0.21,8.8,8.86,27.72,0.62,1.35,5.42,9.98,2.49,5.44,8.09,5.67,0.61,5.36,0.54,1.14,40.49,4.72,7.07,Normal
63.64,44.91,7.26,30.04,6.41,2.8,7.06,3.29,47.5,1.98,4.69,0.62,6.19,3.42,6.2,6.25,0.41,0.65,8.7,4.0,7.43,94.95,3.97,4.57,Normal
84.87,47.72,7.31,30.79,8.06,1.2,2.68,1.61,41.0,6.66,9.09,6.36,5.77,0.25,8.14,1.43,8.7,1.91,7.3,3.63,9.84,69.5,1.49,5.82,Sensitive
67.37,51.54,5.8,31.39,8.38,9.91,1.02,0.71,49.58,1.51,5.73,3.88,3.9,8.32,2.7,0.91,4.05,7.1,3.62,9.88,1.82,50.89,2.85,6.24,Normal
14.77,79.73,6.2,34.8,7.81,8.81,5.46,0.72,75.32,4.81,6.35,8.2,7.53,6.73,6.71,6.21,3.18,0.99,7.88,3.19,3.15,99.26,3.68,8.3,Sensitive
34.63,81.19,5.66,30.78,2.85,3.46,2.43,3.91,23.9,6.57,1.53,2.34,5.24,7.62,8.07,5.79,1.75,9.2,4.58,9.61,5.23,83.71,3.79,4.26,Normal
73.27,80.89,4.68,33.63,7.88,7.02,9.34,6.83,47.18,9.45,5.68,3.87,2.34,6.7,6.08,8.89,2.78,6.1,7.71,3.04,0.73,71.9,4.72,7.54,Combination
23.25,67.84,5.65,34.54,3.39,8.9,8.56,2.94,77.34,9.27,6.76,1.25,5.22,2.58,1.26,6.62,3.62,8.96,3.41,0.44,8.11,13.59,2.48,4.72,Sensitive
65.01,66.08,4.11,35.39,1.9,7.72,1.79,8.32,68.44,9.88,0.12,8.81,5.65,1.78,5.61,6.17,6.28,5.99,3.49,0.55,6.16,28.44,3.14,6.97,Combination
25.18,48.12,6.28,33.49,2.49,1.58,6.28,6.27,22.81,9.06,1.05,4.37,0.13,2.87,9.29,3.53,1.85,8.55,6.3,9.89,6.59,36.62,3.86,7.41,Sensitive
15.81,87.52,5.61,32.25,4.44,5.3,9.43,3.28,72.02,8.61,1.75,2.0,0.58,7.46,8.94,0.02,2.72,6.92,8.56,7.96,2.78,42.18,3.78,3.93,Sensitive
29.61,60.82,6.23,33.04,8.55,3.24,5.01,5.07,83.19,4.92,0.06,6.86,6.59,0.67,0.99,8.22,1.81,7.36,7.12,4.52,6.72,28.6,3.39,8.19,Sensitive
58.66,37.57,5.33,36.43,6.08,6.49,5.2,0.28,44.44,5.97,3.68,0.57,2.45,4.37,2.45,6.48,9.28,5.2,3.88,7.4,7.89,48.59,1.99,3.89,Normal
106.53,32.34,5.9,34.28,5.33,5.74,1.95,8.39,86.36,9.53,3.26,7.73,5.03,0.37,2.18,9.08,0.92,4.69,7.27,1.68,7.87,92.53,0.66,3.58,Sensitive
114.42,70.36,7.46,35.82,2.35,5.15,1.62,6.64,20.54,8.74,5.27,7.58,5.05,7.0,8.84,9.81,5.88,9.17,8.0,0.39,9.97,80.23,1.57,5.69,Combination
62.6,50.29,6.46,33.4,7.23,0.42,4.34,0.01,83.17,4.39,7.24,1.28,7.81,4.66,1.23,3.6,7.75,7.6,3.7,9.93,7.9,11.82,1.58,6.18,Sensitive
60.72,24.59,6.81,35.13,3.73,5.95,9.93,0.18,43.48,1.88,8.24,9.77,9.42,5.84,5.88,1.32,1.03,7.04,4.96,4.63,1.81,76.26,1.27,8.07,Sensitive
80.1,31.71,6.43,35.59,4.25,4.0,2.44,9.95,20.86,0.74,0.9,7.36,6.74,7.32,9.33,6.77,3.59,9.47,7.17,2.92,8.8,5.94,1.71,6.99,Sensitive
45.71,81.28,4.16,34.79,9.5,8.21,6.38,7.05,35.57,1.75,5.86,6.55,0.21,2.19,7.31,9.17,5.17,4.14,0.41,7.85,7.89,6.11,4.66,7.25,Sensitive
22.93,59.12,4.0,35.47,9.18,4.97,0.95,7.74,99.96,5.65,4.0,2.7,4.66,2.5,4.87,5.87,1.02,3.37,1.58,8.95,2.45,28.25,4.42,4.24,Normal
15.62,76.83,4.91,35.73,8.5,3.78,5.87,5.57,32.36,7.89,2.49,6.08,0.54,7.95,7.23,8.31,1.19,1.38,6.57,4.78,6.57,29.4,4.96,4.25,Sensitive
80.14,21.03,7.31,34.51,7.74,5.89,3.2,3.15,57.36,5.29,4.04,5.56,8.04,1.77,9.54,0.39,0.31,6.7,8.07,5.21,9.04,42.02,4.43,4.11,Dry
99.35,70.4,6.27,32.39,2.89,2.72,3.22,6.67,31.54,9.64,1.15,9.01,8.59,7.06,6.52,6.84,3.49,9.18,4.71,5.19,7.5,50.83,4.02,6.09,Combination
83.73,86.12,5.64,30.58,3.15,5.21,9.12,0.87,81.37,0.05,9.65,1.97,6.77,0.49,0.62,3.9,5.55,4.59,8.64,2.29,9.15,66.23,3.5,5.88,Combination
81.69,20.25,7.47,35.07,8.5,8.78,7.4,9.23,67.22,1.45,2.4,7.14,3.48,2.91,8.84,2.88,4.4,8.55,4.69,8.85,3.62,55.48,2.42,5.16,Sensitive
56.7,51.84,6.49,36.4,1.17,0.23,0.97,0.89,81.82,2.11,0.98,5.65,8.79,1.0,1.99,6.13,2.43,9.59,9.35,8.88,6.08,28.47,3.94,5.18,Normal
82.23,17.45,7.36,31.3,2.47,7.8,4.08,2.33,44.6,6.22,7.21,0.87,8.45,6.14,1.15,4.62,1.71,9.29,4.93,7.73,6.82,38.13,2.39,3.44,Sensitive
33.01,76.02,5.29,36.06,8.53,9.8,1.83,7.98,58.23,1.25,9.53,4.34,6.08,5.12,8.26,1.32,1.21,1.74,0.45,3.33,9.13,49.38,2.27,5.38,Sensitive
82.59,17.28,5.05,35.55,3.56,3.61,7.51,5.64,59.03,8.66,1.24,2.71,5.6,1.76,5.66,3.64,3.86,8.88,6.61,1.75,1.14,71.71,1.43,4.21,Sensitive
68.26,54.38,5.0,32.42,8.53,5.28,8.0,1.58,20.25,0.25,1.8,6.37,3.01,7.43,5.85,2.48,9.73,4.17,7.35,1.31,5.6,76.54,3.78,7.44,Sensitive
92.34,86.85,5.19,34.7,3.44,7.73,8.09,2.84,36.01,4.68,9.82,4.47,5.36,1.65,6.76,4.5,6.1,0.73,7.59,5.27,7.42,68.69,2.47,4.57,Combination
20.31,49.73,5.85,33.77,7.32,2.86,1.66,5.2,76.89,9.03,3.9,4.3,5.26,4.97,5.06,0.07,6.73,3.4,6.42,3.11,2.28,74.72,2.53,8.5,Sensitive
96.3,84.59,6.83,30.52,2.78,7.8,8.51,3.15,51.76,1.16,8.64,3.07,4.88,4.27,4.45,2.8,6.88,5.24,5.81,4.17,0.61,71.76,3.51,3.86,Combination
85.6,54.94,7.0,34.53,9.41,3.08,9.18,6.89,71.25,1.01,2.0,5.05,0.78,4.85,5.08,1.62,1.49,4.78,2.07,6.42,6.84,44.26,1.71,5.75,Normal
86.46,36.83,6.02,32.43,6.28,6.26,7.32,7.81,71.52,4.14,2.97,8.81,4.51,5.81,7.92,9.2,9.71,3.1,6.71,7.98,3.13,72.76,1.39,3.72,Oily
64.66,83.48,7.05,35.52,8.54,2.41,2.9,3.39,34.6,3.03,4.52,7.0,4.22,3.13,0.66,8.23,8.71,0.99,4.86,4.64,0.46,64.52,3.04,3.57,Combination
117.29,76.66,5.07,36.02,4.54,9.05,7.37,7.4,37.13,3.29,3.1,8.23,2.35,8.08,9.38,3.64,9.29,8.46,3.9,4.86,4.3,90.59,4.47,4.89,Combination
32.39,42.41,5.77,36.13,7.3,5.59,8.7,5.39,56.4,8.19,0.63,7.96,6.21,8.83,5.55,1.38,1.49,6.72,8.51,7.86,1.43,43.04,1.52,3.78,Sensitive
42.89,87.14,4.81,33.11,8.44,8.69,1.3,7.49,65.63,3.16,9.37,0.91,1.41,0.02,0.42,4.98,9.81,6.37,0.24,0.53,6.94,20.74,0.77,3.8,Sensitive
35.04,79.59,7.32,32.63,7.91,6.21,0.37,7.55,46.25,5.23,8.15,0.78,0.25,5.01,3.75,5.42,4.1,2.92,7.28,7.72,6.84,49.22,3.1,6.88,Sensitive
15.3,44.46,4.9,36.21,6.36,6.58,2.03,7.55,26.27,5.11,2.66,2.32,2.64,0.83,8.8,0.93,2.48,5.38,5.8,3.72,8.87,77.79,1.19,4.74,Normal
109.44,66.7,5.44,32.83,7.92,0.52,3.07,6.14,35.66,9.53,0.49,6.5,7.35,9.33,3.33,8.48,0.82,3.99,0.72,1.02,1.38,25.53,2.32,4.97,Combination
18.81,81.35,6.82,36.29,9.92,3.51,7.43,6.2,80.43,9.13,0.33,2.85,0.93,4.66,1.37,4.71,0.44,2.89,5.92,3.54,6.01,39.62,4.92,6.7,Sensitive
76.79,28.7,4.46,34.11,2.06,6.46,0.81,8.3,37.11,9.05,3.75,7.07,3.88,6.91,3.12,2.64,7.66,9.78,0.84,9.02,2.02,25.28,4.74,4.15,Sensitive
79.39,52.4,6.42,30.95,7.15,5.38,6.94,6.76,53.45,5.72,2.75,1.5,3.41,4.53,5.64,7.65,6.42,0.46,9.97,5.11,8.98,45.4,2.9,4.55,Normal
51.57,36.35,5.79,30.15,1.45,8.69,4.89,6.47,98.74,6.6,4.14,9.18,0.41,9.7,9.28,8.82,7.82,0.41,7.01,8.19,5.71,22.63,2.88,5.21,Sensitive
11.46,80.37,6.02,32.72,4.62,9.79,3.34,7.48,91.41,9.57,1.76,2.39,6.24,7.48,3.21,7.29,1.23,7.95,8.86,1.95,3.68,62.09,3.31,4.67,Sensitive
102.64,52.19,4.38,34.26,4.47,2.6,6.21,1.28,34.99,4.49,8.63,2.64,7.79,4.21,9.5,7.28,3.95,7.62,6.33,6.33,2.47,7.08,0.91,7.39,Sensitive
52.34,70.85,4.39,32.81,4.74,2.05,1.01,8.7,91.08,0.53,9.02,5.02,6.56,5.81,5.47,6.59,4.37,4.55,1.25,0.93,6.22,95.78,1.44,5.43,Sensitive
70.68,63.4,6.89,30.37,3.96,7.5,8.56,2.14,42.46,8.49,4.37,5.02,9.23,0.68,1.7,3.24,4.42,3.12,5.24,5.87,1.8,80.23,0.61,6.88,Combination
88.16,76.66,6.02,31.25,4.08,3.28,5.66,4.54,28.3,1.82,2.37,4.7,3.01,3.23,3.84,8.04,9.71,4.77,2.92,1.92,4.68,79.97,1.08,7.24,Combination
84.28,57.59,4.21,35.64,3.68,1.54,4.05,3.59,41.17,6.64,0.05,6.38,1.35,0.97,4.2,9.19,2.73,0.16,2.22,0.09,7.15,6.56,1.11,7.79,Combination
86.4,57.43,6.75,35.16,1.76,2.56,4.19,8.43,77.29,0.88,3.25,5.35,4.11,9.8,6.77,5.3,6.21,0.04,2.25,7.36,1.64,15.36,4.22,3.62,Combination
47.67,30.26,7.23,30.26,2.01,5.11,8.78,3.62,73.39,7.37,4.32,6.59,2.48,0.96,2.4,9.69,7.96,6.14,1.82,3.04,0.67,56.44,3.25,3.3,Sensitive
55.36,32.11,7.0,32.55,9.67,0.35,1.91,5.59,90.69,4.29,5.86,6.93,4.11,0.3,1.89,8.55,4.2,0.7,5.67,0.95,6.0,25.23,3.16,7.7,Sensitive
36.38,46.64,5.07,35.88,1.2,1.62,8.5,0.8,52.97,6.53,8.19,7.1,3.19,5.49,3.76,0.54,3.42,0.48,7.77,7.22,0.69,29.88,3.3,4.82,Sensitive
116.57,83.77,4.07,35.2,3.2,2.07,7.23,6.42,58.75,0.72,0.51,3.71,2.31,1.2,3.19,5.62,3.37,0.3,3.95,5.89,5.47,40.98,2.65,4.67,Combination
41.74,26.24,4.9,32.5,5.59,3.01,6.16,7.45,53.37,1.31,3.88,6.36,3.19,4.19,0.85,8.94,9.77,3.98,3.68,2.21,5.22,4.78,3.91,7.62,Sensitive
26.2,31.81,6.69,33.51,2.08,2.7,8.76,3.19,24.14,7.13,2.91,0.35,5.51,9.51,2.86,4.48,9.38,9.05,6.67,6.09,1.88,97.38,4.74,6.47,Dry
24.23,79.25,4.19,33.02,9.13,0.68,8.37,5.41,40.23,9.63,4.71,6.81,6.09,3.76,9.69,0.8,6.1,8.88,6.39,0.15,1.47,76.31,1.63,4.97,Sensitive
113.85,85.19,5.4,35.7,4.29,4.9,2.03,2.55,37.24,8.68,0.58,5.65,0.83,8.76,1.58,6.16,7.5,5.08,0.61,5.03,2.5,84.18,1.65,4.37,Combination
48.66,72.56,6.09,36.12,8.33,2.04,5.68,7.64,99.44,5.79,3.03,1.0,7.49,7.61,2.03,7.33,5.78,5.48,8.02,9.82,6.04,61.78,3.98,7.7,Normal
90.69,24.9,7.26,31.67,7.16,1.19,5.74,3.04,93.43,0.73,1.01,3.14,9.14,5.05,3.52,0.54,5.57,8.22,1.86,4.35,4.8,4.59,3.05,6.32,Normal
110.53,50.1,5.31,35.9,8.41,2.45,0.93,5.61,81.01,1.93,2.62,8.35,3.98,2.45,0.66,2.91,0.75,5.18,6.72,8.64,1.85,26.97,2.75,5.77,Sensitive
87.11,58.73,4.06,33.92,1.74,5.17,2.8,7.38,41.45,5.18,8.41,9.14,0.13,1.6,2.56,5.89,0.9,5.0,3.45,0.44,1.48,8.08,4.57,8.25,Combination
52.74,48.8,7.34,32.3,5.69,0.7,5.52,5.92,50.71,2.59,6.63,7.29,1.31,6.66,7.44,6.51,9.46,6.1,1.64,9.66,6.85,64.58,1.31,7.15,Sensitive
113.65,17.86,5.74,32.56,6.69,7.68,8.59,5.83,21.92,5.94,1.09,9.31,7.47,6.68,2.28,4.3,8.15,4.58,2.52,1.54,7.77,3.78,4.38,3.81,Sensitive
91.01,85.31,5.73,30.57,9.38,0.25,5.11,5.57,49.24,0.07,4.08,9.9,6.49,5.44,6.6,7.14,3.58,2.48,6.43,0.39,9.62,99.76,3.79,5.19,Combination
36.23,21.3,4.36,30.82,7.43,0.99,0.49,5.76,76.3,1.03,0.24,7.61,8.05,2.37,1.38,5.45,5.53,3.73,3.93,8.36,4.13,26.46,2.01,5.85,Sensitive
100.62,59.77,4.11,36.33,8.67,1.41,0.27,5.7,67.58,5.17,2.03,7.03,0.93,8.4,4.92,1.43,4.94,8.77,9.29,5.57,1.14,37.51,1.5,3.13,Combination
93.67,47.46,6.48,33.92,8.44,1.27,3.29,6.22,30.82,4.46,9.3,9.83,7.47,3.65,8.45,8.38,4.88,3.58,7.38,5.95,6.12,27.93,2.71,8.35,Sensitive
53.42,35.66,6.76,33.61,8.27,5.77,9.8,7.2,51.45,5.3,4.24,3.81,0.08,2.73,9.64,0.18,3.17,3.8,1.44,4.45,2.71,72.79,1.91,6.67,Normal
32.02,30.14,7.36,35.17,7.51,3.8,9.9,9.55,90.75,8.62,8.27,2.03,6.71,6.62,9.79,8.31,2.03,8.58,4.89,9.59,7.38,68.44,3.53,5.79,Sensitive
88.39,46.69,4.97,31.13,8.72,2.1,8.76,7.14,45.49,6.73,7.74,3.76,6.02,6.26,1.63,9.07,6.13,3.19,8.47,7.16,0.72,38.58,2.35,3.65,Sensitive
102.98,17.55,5.95,33.24,5.84,0.43,5.97,8.69,37.29,2.83,9.57,9.4,5.89,0.82,5.57,3.57,1.38,1.01,4.1,4.84,1.0,72.82,3.82,6.09,Sensitive
50.55,54.42,4.4,34.47,9.63,9.23,7.52,2.77,53.64,2.72,6.91,6.81,1.26,8.17,9.38,4.71,7.09,6.38,9.63,7.57,1.96,81.74,4.23,3.8,Sensitive
58.07,15.68,5.87,34.14,3.5,5.99,5.86,6.2,83.14,8.67,3.81,2.4,2.19,5.44,3.95,1.98,8.22,2.07,6.15,3.28,4.76,11.15,4.27,6.04,Sensitive
49.23,67.81,5.28,33.2,9.1,8.37,1.43,3.58,91.65,3.83,4.85,7.1,9.88,2.84,5.8,4.0,3.88,1.24,2.23,1.07,9.8,69.51,1.85,5.87,Sensitive
36.37,42.07,6.08,32.91,3.01,1.94,9.92,6.1,20.14,7.07,4.97,2.88,6.42,7.88,5.21,1.75,5.75,0.08,2.63,3.88,1.12,0.07,2.96,5.33,Sensitive
81.87,84.47,6.62,36.3,4.39,6.51,6.14,1.83,88.93,8.79,9.01,5.88,9.97,2.48,3.98,5.96,9.07,8.87,9.49,9.89,7.25,25.41,2.93,4.66,Oily
52.95,81.24,6.3,34.84,2.53,5.88,4.59,9.09,64.07,8.53,2.0,6.62,2.4,6.26,5.6,3.13,3.2,1.03,0.56,9.13,9.42,23.02,4.89,8.34,Sensitive
82.36,72.25,7.41,33.76,3.61,1.01,1.71,1.97,47.21,1.01,1.35,8.91,6.43,0.78,8.51,6.17,4.22,7.99,4.36,7.63,9.61,89.57,1.45,8.0,Combination
49.85,83.46,6.23,30.86,8.96,4.22,6.5,1.83,71.19,7.61,8.53,9.73,9.3,9.74,8.05,9.65,9.28,8.49,8.76,4.39,4.9,18.5,1.41,7.15,Sensitive
49.22,73.66,7.28,32.56,2.77,6.13,6.64,0.5,93.31,8.25,7.36,3.41,2.41,4.74,5.24,5.61,4.57,5.63,7.01,4.26,5.66,3.92,1.78,7.17,Sensitive
31.48,58.37,4.05,35.54,2.42,1.45,8.06,1.98,34.08,5.44,2.56,5.59,8.44,2.43,4.3,7.01,0.42,1.66,2.42,9.19,5.94,95.46,0.7,5.61,Normal
118.6,66.35,5.94,31.74,5.78,1.48,2.47,3.34,98.11,8.27,0.87,2.04,0.88,6.4,6.07,2.54,0.79,4.69,6.99,0.96,5.45,89.32,4.64,4.52,Combination
